Country,Total investment,"Inflation, average consumer prices","Inflation, end of period consumer prices",Six-month London interbank offered rate (LIBOR),Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Unemployment rate,Employment,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government structural balance,General government primary net lending/borrowing,General government net debt,General government gross debt,Current account balance,"Gross domestic product, constant prices"
Rwanda,26.107,118.673,122.739,,14.127,14.127,10.500,6.297,,,12.400,"2,152.813","2,625.601",-472.788,,-353.322,,"4,676.376",-0.935,"9,139.000"
Samoa,,117.251,118.344,,,,,,,,0.201,0.755,0.694,0.060,,,,1.059,0.019,2.043
San Marino,21.385,112.476,112.850,,,,,,7.660,,0.034,0.310,0.345,-0.035,,-0.030,,1.227,0.012,1.223
São Tomé and Príncipe,18.146,129.178,133.981,,1.949,2.185,7.006,36.845,,,0.213,2.081,2.243,-0.162,,-0.128,,6.745,-0.053,4.256
Saudi Arabia,27.808,105.061,98.734,,-1.320,3.693,-4.524,-7.706,5.625,,34.082,926.600,"1,059.000",-132.400,,-133.400,148.446,677.695,46.949,"2,639.811"
Senegal,31.681,104.753,105.781,,3.360,3.282,4.653,6.884,,,16.308,"2,789.071","3,317.432",-528.361,-392.680,-265.938,,"8,848.447",-1.812,"13,301.110"
Serbia,23.563,196.909,195.137,,11.393,9.834,10.324,8.535,10.909,,6.964,"2,278.528","2,278.775",-0.247,-24.072,108.689,"2,647.202","2,858.868",-3.539,"3,893.858"
Seychelles,26.216,111.835,112.166,,0.773,-2.266,7.060,-1.879,3.000,,0.096,8.435,8.230,0.205,,0.748,10.172,12.815,-0.275,9.492
Sierra Leone,15.648,269.751,281.200,,9.849,6.567,32.525,17.522,,,7.815,"6,666.329","7,707.632","-1,041.303",,-55.713,,"26,611.507",-0.569,"10,218.115"
Singapore,24.859,100.000,100.445,,-1.703,-1.881,-1.559,-1.985,2.250,3.753,5.704,91.775,72.392,19.383,5.872,,,656.258,63.138,475.280
Slovak Republic,23.286,106.330,107.470,,2.553,2.475,1.723,1.746,5.758,2.450,5.450,39.085,40.304,-1.220,-1.664,-0.227,,45.202,-3.030,89.295
Slovenia,20.728,104.818,105.630,,4.214,4.618,4.397,4.441,4.600,1.045,2.068,21.228,20.967,0.260,0.165,0.974,20.680,31.747,3.048,42.805
Solomon Islands,13.054,197.350,200.595,,3.309,-3.572,-14.890,-15.747,,,0.641,4.204,4.420,-0.216,,-0.162,-0.276,1.158,-0.154,11.094
Somalia,,,114.640,,,,,,,,,0.338,,,,,,,-0.518,4.548
South Africa,17.589,112.200,114.457,,-0.486,-0.143,-2.511,-2.351,28.700,,58.775,"1,475.801","1,793.353",-317.552,-243.346,-115.054,"2,850.658","3,155.816",-10.599,"3,149.337"
South Sudan,17.224,"9,456.849","8,198.962",,,,,,,,13.378,303.872,301.194,2.678,,11.443,,510.239,0.042,16.571
Spain,20.849,104.389,105.228,,1.229,-0.101,2.561,1.019,14.105,19.779,46.486,486.754,521.949,-35.195,-38.704,-9.416,"1,012.882","1,188.862",27.489,"1,192.353"
Sri Lanka,27.388,129.467,132.400,,-8.546,-8.546,-2.264,-2.264,4.800,,21.803,"1,898.808","3,127.291","-1,228.483",,-327.130,,"13,031.116",-1.808,"9,889.379"
St. Kitts and Nevis,30.000,106.046,107.158,,7.113,9.463,10.980,7.577,,,0.057,1.118,1.147,-0.029,,0.006,,1.618,-0.022,2.129
St. Lucia,21.348,117.491,118.882,,-2.761,-6.041,1.263,-8.824,,,0.180,1.230,1.428,-0.198,,-0.027,,3.514,0.112,5.674
St. Vincent and the Grenadines,18.745,111.433,111.300,,0.662,-0.861,6.105,7.234,,,0.110,0.662,0.715,-0.053,,-0.008,1.619,1.674,-0.082,1.824
Sudan,,"1,930.972","2,339.210",,16.862,16.862,7.954,7.954,22.100,,43.222,159.240,378.827,-219.587,,-216.025,,"4,066.580",-5.040,20.834
Suriname,,140.633,143.400,,16.154,14.843,-2.874,-2.237,8.953,,0.597,7.051,9.913,-2.861,-2.978,-1.787,,22.693,-0.410,9.740
Sweden,25.235,106.842,107.332,,1.946,-0.987,3.835,2.289,6.767,5.126,10.328,"2,447.844","2,427.579",20.265,-26.394,14.590,161.532,"1,748.732",22.308,"5,021.285"
